ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19270131.0,-6003.924107257681,-1886.5748682383717,-925.9470591890334,-457.4466628855207,-226.6074272957798,-149.94126628942976,-88.55795446506848,-62.21134953195738,-42.50189320646456,-19.543444873814515,-12.574090879103398,-12.574090879103398,-6003.924107257681
pwcf,19270228.0,-5422.606596232743,-1824.978860034946,-910.8275500174732,-456.3664589705329,-226.6861849975582,-149.98638547738597,-88.52567577077998,-62.21797580493352,-42.51800939863538,-19.585794378263525,-12.61112399463543,-12.61112399463543,-5422.606596232743
pwcf,19270331.0,-5603.376251440502,-1844.975407617748,-915.8055526405192,-456.1408963202597,-226.622976269788,-149.97518216534218,-88.55614518512044,-62.26628285225462,-42.60008752620177,-19.72414573760644,-12.72921602967832,-12.72921602967832,-5603.376251440502
pwcf,19270430.0,-5422.317716232743,-1824.7463061219023,-910.6316080609512,-455.9783936153416,-226.46808948456228,-149.8899473660721,-88.52672357592503,-62.26075157341222,-42.59860670495896,-19.715881255744694,-12.721706918526651,-12.721706918526651,-5422.317716232743
pwcf,19270531.0,-5603.5659514405015,-1825.073870034946,-915.9179223672954,-456.2327761836476,-226.70462521643643,-149.98343848833488,-88.50559088845922,-62.19055520266525,-42.56903905097592,-19.797892152390837,-12.802104830554391,-12.802104830554391,-5603.5659514405015
pwcf,19270630.0,-5422.609416232743,-1824.9816800349463,-910.830370017473,-456.1322264568717,-226.5992419743024,-149.93637306862684,-88.50525642212098,-62.21022349754206,-42.55983127380647,-19.71863285464956,-12.729426088995712,-12.729426088995712,-5422.609416232743
pwcf,19270730.0,-5422.916486232743,-1825.2141243827723,-911.0121071913862,-456.4089183147952,-226.6451756952326,-149.91699186424728,-88.53364966787905,-62.33069516746775,-42.65514740301534,-19.711302231788505,-12.71154783201451,-12.71154783201451,-5422.916486232743
pwcf,19270831.0,-5603.782561440502,-1845.3817176177477,-921.1847888088736,-456.56119618364767,-226.72775841753085,-149.9768111343203,-88.58202120591956,-62.37860948111656,-42.7027183912442,-19.73746502439631,-12.721567330098104,-12.721567330098104,-5603.782561440502
pwcf,19270930.0,-5423.265196232743,-1825.623334600164,-915.8281917115576,-455.9317458557789,-226.61525011383725,-150.03693128030568,-88.67356588572251,-62.40753327071374,-42.68462075368602,-19.746760231788507,-12.765305213836015,-12.765305213836015,-5423.265196232743
pwcf,19271031.0,-5604.079051440502,-1825.3604530784244,-921.1214119956868,-456.4292903366532,-226.7060245734816,-149.9918683058531,-88.51965432031474,-62.207030052098176,-42.60147166800302,-19.81987373076181,-12.80208959328482,-12.80208959328482,-5604.079051440502
pwcf,19271130.0,-5422.707106232743,-1845.170607617748,-915.9234223672952,-456.3912511836476,-226.69485818497267,-149.98967585147355,-88.64440312710182,-62.47132710724093,-42.81821480788805,-19.82378336115196,-12.764558234460216,-12.764558234460216,-5422.707106232743
pwcf,19271231.0,-5422.573686232743,-1845.0371876177476,-920.8402588088738,-456.27883405250014,-226.66775774721623,-149.99106620731297,-88.66635586930215,-62.50046772515253,-42.85275273288121,-19.85806503671664,-12.789330298705517,-12.789330298705517,-5422.573686232743
pwcf,19280131.0,-5796.850529766035,-1865.6496471468336,-920.9150088088736,-455.6674098448498,-226.54361313709308,-150.02964452848087,-88.71784394264644,-62.47388317685376,-42.76754420016837,-19.854978530214243,-12.857557474285,-12.857557474285,-5796.850529766035
pwcf,19280229.0,-5422.925196232744,-1825.2974600349464,-911.1461500174732,-456.3715849951096,-226.60793749755487,-150.02005499836991,-88.69941742235216,-62.465363033339216,-42.77185371117607,-19.92500012638125,-12.944392212577808,-12.944392212577808,-5422.925196232744
pwcf,19280331.0,-5603.528501440502,-1845.127657617748,-915.8804723672952,-457.3817530499042,-226.87278152495213,-150.03645768330142,-88.65130353407174,-62.4852693478932,-42.84282176703588,-19.864319262589326,-12.802572475423476,-12.802572475423476,-5603.528501440502
pwcf,19280430.0,-5422.097426232743,-1824.4696900349463,-910.3183800174728,-457.0964329951097,-226.72947649755483,-149.9404909983699,-88.58953253188118,-62.43549108107005,-42.80204626594059,-19.853877103793984,-12.806117207558184,-12.806117207558184,-5422.097426232743
pwcf,19280531.0,-5602.841161440501,-1824.3490800349464,-915.1931323672952,-456.996812282781,-226.63987114139044,-149.8542240942603,-88.51009366550659,-62.36192959045972,-42.73289683275329,-19.753738430282688,-12.7076124882007,-12.7076124882007,-5602.841161440501
pwcf,19280630.0,-5421.969076232743,-1824.3413400349464,-910.0458100174732,-456.7394475704521,-226.52535878522605,-149.78732919015073,-88.48359698423606,-62.354333135060656,-42.73948849211803,-19.77055727080288,-12.719910469399933,-12.719910469399933,-5421.969076232743
pwcf,19280731.0,-5421.873946232742,-1823.96670568712,-909.63371784356,-456.5297838992193,-226.2653969496096,-149.51060129973976,-88.21230445411558,-62.09878373756458,-42.49575722705779,-19.65030604013895,-12.683669514759064,-12.683669514759064,-5421.873946232742
pwcf,19280831.0,-5602.335471440501,-1843.934627617748,-924.8437591890334,-456.3433275978494,-226.23463879892475,-149.53174253261648,-88.25179458007395,-62.1296143596303,-42.520087290036976,-19.66844683411568,-12.697903205550338,-12.697903205550338,-5602.335471440501
pwcf,19280929.0,-5601.925071440501,-1843.524227617748,-924.5127978630665,-456.08274063894527,-226.1603234290617,-149.52038561937445,-88.251574350063,-62.10658312332357,-42.4799321750315,-19.64505099427995,-12.695738898714524,-12.695738898714524,-5601.925071440501
pwcf,19281031.0,-5602.044161440502,-1823.559263839294,-924.5636582498068,-456.577877652644,-226.288543826322,-149.52543255088133,-88.24181036868293,-62.14974527903562,-42.56282518434147,-19.673352107216296,-12.67134185390299,-12.67134185390299,-5602.044161440502
pwcf,19281130.0,-5421.611796232743,-1864.6130071468335,-919.8783688088738,-456.5138812142878,-226.24367560714384,-149.4869404047626,-88.20747920767526,-62.11652258732983,-42.530434603837634,-19.725074961425744,-12.756834653026836,-12.756834653026836,-5421.611796232743
