ctype,quotedate,0.0833YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR
pwcf,19781229.0,0.7553107647745971,0.7790877563747856,0.7982359755082991,0.7597432649665059,0.7268868283878627,0.7075877090781724,0.7045770895427683,0.7031809347320284,0.6991523073539119,0.6979262389854135
pwcf,19790131.0,0.8079065853026313,0.9210133905211304,0.9581849729418668,0.916124593112544,0.8720304514686195,0.8432763116053899,0.8361174655703962,0.8289395044403625,0.8159394027347222,0.8105281356147964
pwcf,19790228.0,0.7606385850380537,0.7591838841265908,0.7745421862428881,0.7438802520087107,0.7062532087495521,0.6873031805718188,0.6873982320123595,0.6859265946790316,0.6819024891509651,0.6762672915840762
pwcf,19790330.0,0.8203349805787852,0.8400589976585771,0.8428973800170159,0.8094672220744004,0.7782880549776161,0.7614305297928503,0.7595612015103281,0.7558450884253443,0.7493676758854928,0.743919367488699
pwcf,19790430.0,0.8515070898137633,0.8575276957608846,0.8451416091620478,0.8265018987927419,0.7965558474689161,0.7793397365304822,0.7764353371505717,0.774206989120052,0.7701390553827014,0.762188296510824
pwcf,19790531.0,0.8499884479589159,0.8736198179639887,0.855555606521885,0.8386232304769647,0.8092837067486647,0.79410283833381,0.7930627201276241,0.7914772963012906,0.7862396432101182,0.7795178161195127
pwcf,19790629.0,0.7996803228784266,0.8002665334759129,0.7810798077258152,0.7543787484375342,0.7280628575462522,0.7154784208352583,0.7156957806409681,0.7194557119027278,0.7219817881773283,0.7166070647750544
pwcf,19790731.0,0.814501271246959,0.8357782473835673,0.8111616654824738,0.7791480520809468,0.7658441053684628,0.7620661790183503,0.7648497605873716,0.7704085513691172,0.7731683422668612,0.7709632169955682
pwcf,19790831.0,0.8157080836046493,0.8515390149655966,0.8253012678796301,0.7862260387389908,0.7675586803804091,0.7605077025995222,0.7625966744145174,0.7640409834634765,0.76275660171925,0.7576929431328594
pwcf,19790928.0,0.8059055082151323,0.7953179121693355,0.8005520555979251,0.7498785235228178,0.7266037723377972,0.7133506440122117,0.711068279920668,0.7071513904617577,0.6986937315244912,0.6918365341604282
pwcf,19791031.0,0.9699414445774268,0.9853667631098072,0.9897793456754788,0.9161959065862036,0.881392452713059,0.8607327284507527,0.8566149050188709,0.8538510156654855,0.8424050677957373,0.8344842998379676
pwcf,19791130.0,1.0092827606336785,1.0864171420441826,1.0615307119160144,0.9923624045922176,0.9519616530062612,0.9185161402583076,0.9030043299034674,0.8861195801968869,0.8566440383517504,0.8399007104743061
pwcf,19791231.0,0.9642202735972384,1.0504472276388732,0.9783317103526424,0.9437530487837796,0.9000052310044637,0.8811000853104822,0.883918450055865,0.8778761726853768,0.8600067352106278,0.8450049173039931
